"cpd";"compoundclass";"ko";"ec";"reaction";"referenceAG";"compoundname";"genesymbol";"genename";"enzyme_activity"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R00623";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R07105";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R08306";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06747";"Aromatic";"K00001";"1.1.1.1";"R08281";"PSL";"Phenylmethanesulfonyl fluoride";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R08310";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R00754";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R08306";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R08281";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R02124";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
"C06899";"Aliphatic";"K00001";"1.1.1.1";"R06917";"IARC2A";"Chloral hydrate";"E1.1.1.1";"alcohol dehydrogenase";"dehydrogenase"
